0,Address,Census Tract,PM2.5,Poverty,Traffic,Noise Pollution,Minimum Price,Minimum Beds,Minimum Baths,Sqft,Units,Latitude,Longitude,Distance to School,Distance to Hospital,Distance to Grocery Store,City,Home Type,SoundScore
7825,"170 Roundtree Blvd, San Rafael, CA 94903",6041107000,8.137332291,11.7,724.867757,27,3000,2,2,949,1,38.03223,-122.54299,0.351074615,1.349617812,0.49088309,San Rafael,APARTMENT,73
7826,"14 Valencia Ave, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,27,3300,2,1,950,1,37.97266,-122.512405,0.147264927,0.794112138,0.384007278,San Rafael,APARTMENT,73
7827,"27 Brookdale Ave UNIT D, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,39,2395,1,1,400,1,37.982033,-122.52314,0.264082675,0.863084319,0.687857697,San Rafael,APARTMENT,61
7828,"51 Vendola Dr, San Rafael, CA 94903",6041106002,8.462434802,11.1,3074.273855,12,4500,3,2,1386,1,38.010696,-122.52363,0.59030245,2.37363722,2.752052159,San Rafael,SINGLE_FAMILY,88
7829,"35 Valencia Ave, San Rafael, CA",6041110100,8.381069238,26.4,2143.575568,27,2199,2,1,650,2,37.973713,-122.51286,0.297015338,0.860598835,0.449872604,San Rafael,MULTIUNIT,73
7830,"100 Laurel Pl 8, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,34,2400,1,1,600,1,37.975437,-122.52347,0.2485484,0.352317357,0.177712106,San Rafael,APARTMENT,66
7831,"15 Grande Paseo, San Rafael, CA 94903",6041107000,8.137332291,11.7,724.867757,29,4375,4,3,1554,1,38.032475,-122.54097,0.669837938,1.646011779,0.259733078,San Rafael,TOWNHOUSE,71
7832,"379 Irwin St, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,32,5750,3,2,1314,1,37.962482,-122.52097,0.462921395,0.956289969,0.068972181,San Rafael,SINGLE_FAMILY,68
7833,"518 B St 518, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,30,3500,2,1,1100,1,37.968536,-122.529854,0.072079036,0.933299242,0.754344394,San Rafael,APARTMENT,70
7834,"1323 Lincoln Ave APT 6, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,34,2000,1,1,550,1,37.976006,-122.52328,0.607700838,0.388356875,0.213130253,San Rafael,APARTMENT,66
7835,"18 Pacheco St APT 2, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,38,2725,2,1,720,1,37.9768,-122.520996,0.574768175,0.355424212,0.387114133,San Rafael,APARTMENT,62
7836,"102 Graceland Dr, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,28,6500,5,3,2845,1,37.980892,-122.52705,0.899123837,1.280645631,1.094855702,San Rafael,SINGLE_FAMILY,72
7837,"50 Deer Park Ave, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,21,14990,5,5,3600,1,37.976665,-122.51091,0.641876243,1.163827883,0.89477424,San Rafael,SINGLE_FAMILY,79
7838,"21 Clyde Ave, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,33,4500,3,3,1800,1,37.97977,-122.52051,0.123652829,0.872404884,1.156371431,San Rafael,SINGLE_FAMILY,67
7839,"177 Irwin St, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,26,5600,3,2,1250,1,37.9574,-122.51954,0.791005283,3.07578645,0.538107286,San Rafael,SINGLE_FAMILY,74
7840,"28 Ross St APT 6, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,27,1995,1,1,500,1,37.96905,-122.534,0.221208076,0.405755263,0.415075828,San Rafael,APARTMENT,73
7841,"25 Grove St, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,27,2950,1,1,750,1,37.96518,-122.534355,0.237363722,0.703391972,0.650575437,San Rafael,SINGLE_FAMILY,73
7842,"11 Leafwood Cir, San Rafael, CA 94901",6041109002,8.435396586,10.2,580.63891,26,3200,2,2,900,1,37.978817,-122.54351,0.946348033,0.511388333,0.676673019,San Rafael,APARTMENT,74
7843,"535 Belle Ave APT A, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,31,2695,2,1,900,1,37.974133,-122.51733,0.200702833,0.513873817,0.353560099,San Rafael,APARTMENT,69
7844,"115 Altena St, San Rafael, CA 94901",6041112100,8.397059009,26.5,1427.373671,40,3175,2,1,1100,1,37.954914,-122.50916,0.334918969,2.0505243,0.590923821,San Rafael,APARTMENT,60
7845,"1202 Nye St APT D, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,34,2000,1,1,550,1,37.974773,-122.52486,0.146022185,0.383385907,0.182061703,San Rafael,APARTMENT,66
7846,"230 Villa Ave, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,32,1850,1,1,400,1,37.988632,-122.526054,0.998543197,1.414861767,0.793490767,San Rafael,SINGLE_FAMILY,68
7847,"75 Vista Marin Dr, San Rafael, CA 94903",6041106001,8.414100549,10.1,2523.246113,26,5995,4,3,2402,1,38.00582,-122.53387,0.631312936,0.595273418,0.928328274,San Rafael,SINGLE_FAMILY,74
7848,"55 Roundtree Blvd UNIT 1, San Rafael, CA 94903",6041107000,8.137332291,11.7,724.867757,26,3250,2,2,952,1,38.030945,-122.54388,0.236742351,1.235285548,0.538107286,San Rafael,APARTMENT,74
7849,"6 Bryn Mawr Dr APT 4, San Rafael, CA 94901",6041109001,8.351873776,16.5,1801.020682,31,2950,2,1,800,1,37.975517,-122.53329,0.094448392,0.370337116,0.172119767,San Rafael,TOWNHOUSE,69
7850,"211 G St 4, San Rafael, CA 94901",6041111000,8.40486263,17.7,821.9759079,29,2300,1,1,600,1,37.975544,-122.53732,0.171498396,0.134837507,0.291422999,San Rafael,APARTMENT,71
7851,"25 Bayo Vista Way, San Rafael, CA 94901",6041109002,8.435396586,10.2,580.63891,25,4950,3,3,1300,1,37.977528,-122.54393,0.608322209,0.583467369,0.748752055,San Rafael,TOWNHOUSE,75
7852,"238 Merrydale Rd APT 12, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,35,2295,1,1,546,1,37.996925,-122.53567,0.126759684,1.675837587,0.059651616,San Rafael,APARTMENT,65
7853,"20 Gloucester Cv, San Rafael, CA 94901",6041112202,8.498563866,52,1527.394229,20,4100,2,3,1560,1,37.964825,-122.49699,0.440552039,0.502067768,0.452358088,San Rafael,TOWNHOUSE,80
7854,"880 Tamarack Dr, San Rafael, CA 94903",6041108200,8.467143828,27.7,1017.307278,16,4900,3,2,1797,1,37.999123,-122.55645,0.640633501,0.877997223,0.9941936,San Rafael,SINGLE_FAMILY,84
7855,"49 Dominican Dr, San Rafael, CA 94901",6041110100,8.381069238,26.4,2143.575568,19,6600,4,4,3000,1,37.986797,-122.51495,0.928949645,1.544106935,2.095263012,San Rafael,SINGLE_FAMILY,81
7856,"420 Canal St APT 3, San Rafael, CA 94901",6041112202,8.498563866,52,1527.394229,33,2299,1,1,700,1,37.965992,-122.50887,1.238392403,0.786034315,0.151614524,San Rafael,APARTMENT,67
7857,"12355 Alcosta Blvd, San Ramon, CA",6013345111,8.611781704,12.6,1807.368187,29,2450,1,1,667,5,37.7594,-121.9438,1.113496832,0.972445615,0.885453675,San Ramon,MULTIUNIT,71
7858,"401 Canyon Woods Pl, San Ramon, CA",6013345116,8.5827528,2.6,1996.102628,26,1886,0,1,436,14,37.765373,-121.94963,1.365773458,0.837608108,0.667352454,San Ramon,MULTIUNIT,74
7859,"255 Park Pl, San Ramon, CA",6013345204,8.558745232,4,2005.896159,28,2895,2,2,1151,6,37.772102,-121.990746,0.046602825,0.138565733,1.166934738,San Ramon,MULTIUNIT,72
7860,"1700 Promontory Ln, San Ramon, CA",6013345204,8.558745232,4,2005.896159,24,2134,1,1,575,23,37.77707,-121.98632,0.612050435,0.789762541,0.654303663,San Ramon,MULTIUNIT,76
7861,"3300 Promontory Way, San Ramon, CA",6013345204,8.558745232,4,2005.896159,24,2295,1,1,726,3,37.776985,-121.98994,0.464164137,0.457950427,0.861841577,San Ramon,MULTIUNIT,76
7862,"2000 Shoreline Loop, San Ramon, CA",6013345112,8.447741062,6.7,619.6560359,27,2099,0,1,436,27,37.782825,-121.93793,0.66486697,2.434531578,1.496261368,San Ramon,MULTIUNIT,73
7863,"1110 Harness Dr, San Ramon, CA",6013345115,8.404332483,5.2,2386.771394,29,3010,2,2,1175,4,37.75718,-121.96657,0.532514947,1.869083968,0.175226622,San Ramon,MULTIUNIT,71
7864,"4549 Sweetgale Dr, San Ramon, CA 94582",6013345116,8.5827528,2.6,1996.102628,20,4845,3,2,1678,1,37.77937,-121.94343,1.125924252,2.62839933,1.042039167,San Ramon,SINGLE_FAMILY,80
7865,"302 Norris Canyon Ter, San Ramon, CA 94583",6013345116,8.5827528,2.6,1996.102628,24,3300,2,2,1164,1,37.778465,-121.96007,0.641254872,0.147264927,0.848792786,San Ramon,APARTMENT,76
